userId,achievementId,rep,totalCorrectGroupPredictions
69611285,18022,100,22
69611285,18023,700,22
69611285,18024,900,22
73866749,18022,100,21
73866749,18023,700,21
73866749,18024,900,21
43954778,18022,100,15
43954778,18023,700,15
57815173,18022,100,7
75110611,18022,100,2
28305684,18022,100,1
4489776,18022,100,8
4489776,18023,700,8
31668097,18022,100,10
31668097,18023,700,10
9731314,18022,100,1
37593638,18022,100,22
37593638,18023,700,22
37593638,18024,900,22
76436603,18022,100,1
37292978,18022,100,3
43116858,18022,100,8
43116858,18023,700,8
56214257,18022,100,1
33736563,18022,100,2
43982641,18022,100,20
43982641,18023,700,20
43982641,18024,900,20
24487383,18022,100,20
24487383,18023,700,20
24487383,18024,900,20
36049078,18022,100,18
36049078,18023,700,18
36049078,18024,900,18
47511821,18022,100,1
34893208,18022,100,5
12476,18022,100,23
12476,18023,700,23
12476,18024,900,23
20708796,18022,100,5
76387635,18022,100,1
45559125,18022,100,1
49984141,18022,100,2
34016951,18022,100,2
5555273,18022,100,1
13107484,18022,100,1
32399460,18022,100,1
352,18022,100,4
5601111,18022,100,1
74064183,18022,100,5
28497143,18022,100,13
28497143,18023,700,13
36008880,18022,100,7
5013738,18022,100,1
38616546,18022,100,14
38616546,18023,700,14
23837459,18022,100,21
23837459,18023,700,21
23837459,18024,900,21
4501928,18022,100,5
11218993,18022,100,3
70079225,18022,100,2
11708982,18022,100,19
11708982,18023,700,19
11708982,18024,900,19
38989794,18022,100,6
15984197,18022,100,2
57828449,18022,100,3
76657742,18022,100,2
17114731,18022,100,5
37913683,18022,100,3
13386126,18022,100,4
9973905,18022,100,1
22501501,18022,100,7
37721915,18022,100,3
15115679,18022,100,1
7601110,18022,100,4
73033198,18022,100,1
38099095,18022,100,8
38099095,18023,700,8
32123755,18022,100,1
59999009,18022,100,11
59999009,18023,700,11
22969955,18022,100,22
22969955,18023,700,22
22969955,18024,900,22
76011928,18022,100,4
26705757,18022,100,3
74608481,18022,100,21
74608481,18023,700,21
74608481,18024,900,21
34172741,18022,100,18
34172741,18023,700,18
34172741,18024,900,18
34591529,18022,100,1
38327502,18022,100,6
18976218,18022,100,2
31500943,18022,100,7
32739950,18022,100,8
32739950,18023,700,8
37067286,18022,100,23
37067286,18023,700,23
37067286,18024,900,23
15556506,18022,100,5
24070089,18022,100,6
47239801,18022,100,19
47239801,18023,700,19
47239801,18024,900,19
517,18022,100,23
517,18023,700,23
517,18024,900,23
23242011,18022,100,3
32006915,18022,100,2
75866325,18022,100,20
75866325,18023,700,20
75866325,18024,900,20
34356727,18022,100,17
34356727,18023,700,17
34356727,18024,900,17
76682840,18022,100,5
73339929,18022,100,28
73339929,18023,700,28
73339929,18024,900,28
35975805,18022,100,19
35975805,18023,700,19
35975805,18024,900,19
9900202,18022,100,18
9900202,18023,700,18
9900202,18024,900,18
36972161,18022,100,18
36972161,18023,700,18
36972161,18024,900,18
21471638,18022,100,2
38528900,18022,100,21
38528900,18023,700,21
38528900,18024,900,21
68679593,18022,100,2
35720420,18022,100,13
35720420,18023,700,13
76956679,18022,100,1
21790460,18022,100,7
39994405,18022,100,14
39994405,18023,700,14
28750852,18022,100,21
28750852,18023,700,21
28750852,18024,900,21
76198839,18022,100,2
34657794,18022,100,1
74009231,18022,100,23
74009231,18023,700,23
74009231,18024,900,23
61326821,18022,100,16
61326821,18023,700,16
61326821,18024,900,16
3349973,18022,100,22
3349973,18023,700,22
3349973,18024,900,22
12014165,18022,100,19
12014165,18023,700,19
12014165,18024,900,19
73550635,18022,100,1
2310130,18022,100,17
2310130,18023,700,17
2310130,18024,900,17
20809760,18022,100,29
20809760,18023,700,29
20809760,18024,900,29
34778691,18022,100,4
8030226,18022,100,12
8030226,18023,700,12
6307124,18022,100,1
36614445,18022,100,2
73803908,18022,100,4
14719218,18022,100,21
14719218,18023,700,21
14719218,18024,900,21
73879483,18022,100,2
36531843,18022,100,21
36531843,18023,700,21
36531843,18024,900,21
11712818,18022,100,22
11712818,18023,700,22
11712818,18024,900,22
15208209,18022,100,3
29560083,18022,100,3
29731871,18022,100,3
32810454,18022,100,13
32810454,18023,700,13
63268725,18022,100,15
63268725,18023,700,15
76789214,18022,100,16
76789214,18023,700,16
76789214,18024,900,16
32207064,18022,100,25
32207064,18023,700,25
32207064,18024,900,25
28145800,18022,100,14
28145800,18023,700,14
19109425,18022,100,15
19109425,18023,700,15
30935144,18022,100,1
24405891,18022,100,1
64289001,18022,100,1
27189972,18022,100,1
37565109,18022,100,2
31076102,18022,100,3
40656539,18022,100,14
40656539,18023,700,14
14734402,18022,100,1
9392540,18022,100,4
29607719,18022,100,1
18362280,18022,100,2
23411472,18022,100,2
75516206,18022,100,3
74482799,18022,100,12
74482799,18023,700,12
30234419,18022,100,25
30234419,18023,700,25
30234419,18024,900,25
31896790,18022,100,22
31896790,18023,700,22
31896790,18024,900,22
41340759,18022,100,3
31788419,18022,100,14
31788419,18023,700,14
46287689,18022,100,1
75326193,18022,100,3
72777777,18022,100,10
72777777,18023,700,10
45160925,18022,100,1
36777850,18022,100,9
36777850,18023,700,9
16533964,18022,100,1
33874892,18022,100,5
9597406,18022,100,10
9597406,18023,700,10
34442608,18022,100,18
34442608,18023,700,18
34442608,18024,900,18
63842233,18022,100,2
29362643,18022,100,3
32456568,18022,100,6
30964186,18022,100,3
23413346,18022,100,8
23413346,18023,700,8
36668565,18022,100,13
36668565,18023,700,13
31536894,18022,100,13
31536894,18023,700,13
31836492,18022,100,6
34010058,18022,100,19
34010058,18023,700,19
34010058,18024,900,19
39093110,18022,100,3
50331057,18022,100,3
31155542,18022,100,5
4439606,18022,100,18
4439606,18023,700,18
4439606,18024,900,18
21167206,18022,100,18
21167206,18023,700,18
21167206,18024,900,18
73771992,18022,100,20
73771992,18023,700,20
73771992,18024,900,20
76922300,18022,100,5
31893265,18022,100,15
31893265,18023,700,15
41398080,18022,100,1
76760668,18022,100,1
12642331,18022,100,3
73008886,18022,100,5
75062214,18022,100,6
122,18022,100,17
122,18023,700,17
122,18024,900,17
9900,18022,100,11
9900,18023,700,11
24539928,18022,100,18
24539928,18023,700,18
24539928,18024,900,18
73373939,18022,100,1
27950627,18022,100,2
38278273,18022,100,4
31810109,18022,100,1
22873411,18022,100,11
22873411,18023,700,11
27026085,18022,100,1
27546736,18022,100,2
66166161,18022,100,2
76889487,18022,100,4
26992678,18022,100,18
26992678,18023,700,18
26992678,18024,900,18
75126346,18022,100,2
48451093,18022,100,12
48451093,18023,700,12
75333533,18022,100,1
30632435,18022,100,3
13285841,18022,100,19
13285841,18023,700,19
13285841,18024,900,19
34436142,18022,100,13
34436142,18023,700,13
3793575,18022,100,14
3793575,18023,700,14
25450426,18022,100,18
25450426,18023,700,18
25450426,18024,900,18
39634675,18022,100,2
34166183,18022,100,1
19261623,18022,100,17
19261623,18023,700,17
19261623,18024,900,17
31212537,18022,100,1
13003973,18022,100,9
13003973,18023,700,9
16311992,18022,100,2
6581507,18022,100,11
6581507,18023,700,11
28932002,18022,100,2
16088164,18022,100,1
31908511,18022,100,1
38334970,18022,100,2
38749026,18022,100,2
29949371,18022,100,16
29949371,18023,700,16
29949371,18024,900,16
33953436,18022,100,2
